,NAME,R  G  B,HTML,BRAND,NOTES,,
P01,White,"247, 247, 242",F7F7F2,PERLER,,~6k,
S77,Ghost White,"211, 212, 207",D3D4CF,ARTKAL,0,,
P81,Light Gray,"190,195, 191",BEC3BF,PERLER,3,,
P17,Gray,"150, 152, 156",96989C,PERLER,,3,
P206,Pewter,"147, 161, 159",93A19F,PERLER,2,2,
,Stone,"162, 152, 146",A29892,PERLER,1,,
S43,Grey,"119, 124, 129",777C81,ARTKAL,2,,
P207,Charcoal,"84, 95, 95",545F5F,PERLER,2,,
P92,Dark Gray,"86, 87, 92",56575C,PERLER,1,1,
S69,Mineshaft,"71, 74, 77",474A4D,ARTKAL,1,,
S13,Black,"61, 61, 61",3D3D3D,ARTKAL,,,
P18,Black,"52, 50, 52",343234,PERLER,,6k,
,,,,,,,
P208,Toasted Marshmallow,"241,229,216",F1E5D8,PERLER,2,,fcf7d5
P98,Sand,"234,196,159",EAC49F,PERLER,3,,fddbad
S154,,"237, 193, 159",EDC19F,ARTKAL,1,,
S93,Pale Skin,"250,200,158",FAC89E,ARTKAL,0,,fcba94
P205,Fawn,"215,176,135",D7B087,PERLER,1,,
P35,Tan,"207,168,137",CFA889,PERLER,1,,
,,,,,,,
S83,Sienna,"187,108,62",BB6C3E,ARTKAL,0,,
P20,Rust,"160,78,63",A04E3F,PERLER,1,,
S85,Red Wine,"146,62,69",#923E45,ARTKAL,1,,
P96,Cranapple,"136,64,79",88404F,PERLER,2,,
,,,,,,,
S32,Beeswax,"255,217,157",FFD99D,ARTKAL,1,,
S92,Dandilion,"214,169,64",DEB947,d6a940,1,,aba130
S47,Marigold,"164,123,71",A47B47,ARTKAL,2,,8c7a34
P21,Light Brown,"157, 113, 88",9D7153,PERLER,0,3,
,Gingerbread,"126, 84, 70",7E5446,PERLER,1,3,
P12,Brown,"108,82,77",6C524D,PERLER,,2,8c7a34
,Cocoa,"80, 69, 70",504546,PERLER,1,,
,,,,,,,
P02,Cream,"237,231,186",EDE7BA,PERLER,2,,
P56,Pastel Yellow,"250,238,141",FAEE8D,PERLER,1,,
S65,Canary,"244,241,65",F4F141,ARTKAL,1,,
P03,Yellow,"249,215,55",F9D737,PERLER,,,
S48,Corn,"255,200,86",FFC856,ARTKAL,0,,
P57,Cheddar,"255,182,78",FFB64E,PERLER,1,,
,Apricot,"255, 169, 103",FFA967,PERLER,1,,fcba94
80-15255,Orange Creme,"255, 179, 145",FFB391,PERLER,1,,
P90,Butterscotch,"225,154,82",E19A52,PERLER,2,,
,Honey,"218, 140, 44",DA8B2C,PERLER,2,2,
P04,Orange,"255,128,62",FF803E,PERLER,,2,
,,,,,,,
,Tangerine,"253, 89, 24",FD5918,PERLER,0,1,
,Spice,"227, 92, 68",E35C44,PERLER,1,1,ec847b
S66,Blaze Orange,"255,100,79",FF644F,ARTKAL,0,,
P59,Hot Coral,"255,97,88",FF6158,PERLER,0,,
P203,Salmon,"255,119,127",FF777F,PERLER,1,,fddbad
P63,Blush,"255,158,141",FF9E8D,PERLER,1,,fddbad
P204,Flamingo,"255,181,190",FFB5BE,PERLER,1,,
P33,Peach,"252,198,184",FCC6B8,PERLER,1,,fcf7d5
S84,Deep Chesnut,"176,95,101",B05F65,ARTKAL,0,,
,,,,,,,
P79,Light Pink,"245,192,213",F5C0D5,PERLER,0,,
S129,,"240, 176, 200",F0B0C8,ARTKAL,1,,
S40,Carnation Pink,"253,149,204",FD95CC,ARTKAL,0,,
,Cotton Candy,"244, 121, 176",F479B0,PERLER,1,,
P06,Bubble Gum,"225,109,157",E16D9D,PERLER,0,,
S36,,"215, 113, 140",D7718C,ARTKAL,0,,
,Rose,"210, 93,114",D25D72,PERLER,2,2,
P83,Pink,"230,87,148",E65794,PERLER,0,,
P38,Magenta,"243,70,118",F34676,PERLER,1,,
80-15256,Fruit Punch,"218, 48, 89",D92F59,PERLER,1,,
,,,,,,,
,Tomato,"234, 66, 66 ",EA4241,PERLER,1,,
P05,Red,"196,58,68",C43A44,PERLER,,,
S58,Paprika,"182,58,80",B63A50,ARTKAL,0,,
P961,Cherry,"173,51,69",AD3345,PERLER,1,1,
S146,Bloodrose Red,"147,54,73",933649,ARTKAL,1,,
S38,Burgundy,"163,56,90",A3385A,ARTKAL,0,,
P88,Raspberry,"173,60,108",AD3C6C,PERLER,2,,
S49,Mulberry Wood,"130,59,95",823B5F,ARTKAL,0,,
,Eggplant,"111, 50, 85",6F3155,PERLER,1,,
80-15258,Mulberry,"109, 59, 104",6D3B68,PERLER,1,,
P60,Plum,"178,95,170",B25FAA,PERLER,1,,
,Orchid,"181,108, 153",B56C99,PERLER,1,,
80-15257,Fuchsia,"221, 83, 177",DD53B1,PERLER,1,,
,,,,,,,
,Twilight Plum,"157, 117, 148",9D7594,,2,,
,Frosted Lilac,"208, 192, 202",D0C0CA,,1,,
S33,Maverick,"199,185,229",C7B9E5,ARTKAL,1,,
P82,Light Lavender,"180,166,211",B4A6D3,PERLER,2,,
S60,Lavender,"180,154,216",B59AD9,ARTKAL,0,,
P54,Pastel Lavender,"149,130,187",9582BB,PERLER,1,,
P07,Purple,"111,84,147",6F5493,PERLER,2,3,
S23,Royal Purple,"98,67,135",624387,ARTKAL,1,,
S22,Purple,"90,70,139",5A468B,ARTKAL,2,,
,Grape,"80, 59, 156",503B9C,PERLER,2,2,
,,,,,,,
,Iris,"78, 86, 163",4E56A3,PERLER,1,,
80-15251, Thistle,"153, 152, 175",9998AF,PERLER,1,,
P93,Blueberry Crème,"135,167,225",87A7E1,PERLER,1,2,
P70,Periwinkle,"108,136,191",6C88BF,PERLER,1,3,
80-15253,Denim,"78, 115, 153",4E7399,PERLER,1,,
80-15252,Slate Blue,"114, 133, 145",728591,PERLER,1,,
,,,,,,,
,Mist,"156, 185, 199",9cb9c7,PERLER,2,2,
P202,Robin's Egg,"180,217,223",B4D9DF,PERLER,1,,
S44,Sky Blue,"167,216,242",A7D8F2,ARTKAL,0,,
P52,Pastel Blue,"99,169,214",63A9D6,PERLER,0,1,
P09,Light Blue,"39,138,203",278ACB,PERLER,,,
S24,True Blue,"0, 120, 194",0078C2,ARTKAL,0,,
P200,Cobalt,"0, 102, 179",0066B3,PERLER,2,2,
P08,Dark Blue,"43,48,124",2B307C,PERLER,,,
P201,Midnight,"22,40,70",162846,PERLER,1,,
S64,Black Rock,"5,8,73",#050849,ARTKAL,1,,
,,,,,,,
P58,Toothpaste,"176,232,213",B0E8D5,PERLER,0,,
S54,Light Blue,"0, 144, 218",#0090DA,ARTKAL,0,,
P62,Turquoise,"0, 143, 204",008FCC,PERLER,0,,
,Sky,"84, 205, 227",54CDE3,PERLER,1,,
,Lagoon,"0, 171, 178",00ABB2,PERLER,2,,
,Teal,"54, 141, 151",368D97,PERLER,1,,
,,,,,,,
,Caribbean Sea,"0, 185, 158",00b99e,,2,,
P11,Light Green,"56,199,175",38C7AF,PERLER,1,,
S45,Medium Turquoise,"0, 167, 158",00A79E,ARTKAL,2,,
P91,Parrot Green,"0, 150, 138",00968A,PERLER,2,,
S62,Green Tea/Pea,"34,126,104",#227E68,ARTKAL,0,,
S09,Dark Green,"0, 116, 106",00746A,ARTKAL,1,,
,Forest ,"0, 93, 87",005D57,PERLER,1,1,
80-15261,Dark Spruce,"38, 74, 84",264A54,PERLER,1,,
,,,,,,,
80-15259,Slime,"196, 206, 31",C4CE1E,PERLER,1,,
,Sour Apple,"163, 222, 111",A3DE6F,PERLER,2,,
S55,Pistachio,"144,221,138",90DD8A,ARTKAL,0,,
P53,Pastel Green,"115,213,148",73D594,PERLER,1,,
P61,Kiwi Lime,"119,202,74",77CA4A,PERLER,0,,
P80,Bright Green,"84,177,96",54B160,PERLER,0,2,
S 20,Green,"29,149,93",1D955D,ARTKAL,0,,
P99,Shamrock,"0, 150, 84",#009654,PERLER,2,1,
P10,Dark Green,"16,131,85",108355,PERLER,,,
P179,Evergreen,"60,97,79",3C614F,PERLER,1,,
S91,Brunswick Green,"48,63,63",303F3F,ARTKAL,0,,
,,,,,,,
,Sherbert,"225, 238, 125",E1EE7D,PERLER,1,,
P97,Prickly Pear,"203,215,53",CBD735,PERLER,1,,
S80,Dark Olive,"140,143,75",8C8F4B,ARTKAL,1,,
,Olive,"115, 117, 62",72763E,PERLER,1,,8c7a34
S111,Cafe Latte,"160,140,75",A08C4B,ARTKAL,0,,
,Mocha,,,Perler,1,,
S117,Sage Green,"138,140,93",8A8C5D,ARTKAL,1,,aaa02d
s118,Pine Tree Green,"104, 117, 71",687547,ARTKAL,1,,
,Fern,"123, 151, 48",7B9730,PERLER,2,1,aba130
,,,,,,,
80-15254,Sage,"155, 189,  141",9BBD8D,PERLER,1,,
S31,Sea Mist,"177,227,212",B1E3D4,ARTKAL,0,,
S121,Celadon Green,"140,188,162",8CBCA2,ARTKAL,0,,
,mint,,,petler,1,,
,,,,,,,
P49,Neon Green,"0,172,74",00AC4A,PERLER,Neon,,
P47,Neon Yellow,"189,210,0",BDD200,PERLER,Neon,,
P50,Neon Pink,"241,82,137",F15289,PERLER,Neon,,
P48,Neon Orange,"255,141,46",FF8D2E,PERLER,Neon,,
P??,Neon Blue,"34,85,183",#2255B7,PERLER,Neon,,
,,,,,,,
P105,Silver,"129,137,142",777B81,PERLER,Metallic,,
P85,Gold,"181,127,69",B57F45,PERLER,Metallic,,
???,Copper,"151,99,78",97634E,PERLER,Metallic,,
S41,Copper,"169,99,55",A96337,ARTKAL,Metallic,,
,,,,,,,
P???,Pearl,"216, 214, 199",D8D6C7,PERLER,Pearl,,
P???,Pearl Pink,"227, 123, 173",e37bad,PERLER,Pearl,,
P104,Pearl Light Pink,"204,164,155",CCA49B,PERLER,Pearl,,
P100,Pearl Coral,"233,149,145",E99591,PERLER,Pearl,,
P103,Pearl Yellow,"209,198,110",D1C66E,PERLER,Pearl,,
P102,Pearl Green,"132,176,149",84B095,PERLER,Pearl,,
P101,Pearl Light Blue,"130,185,179",7AAEA2,PERLER,Pearl,,
SP1,Pearl Green,"121,197,126",79C57E,ARTKAL,Pearl,,
SP2,Pearl Orange,"255,143,96",FF8F60,ARTKAL,Pearl,,
SP3,Pearl Tangerine,"233, 174, 106",E9AE6A,ARTKAL,Pearl,,
SP4,Pearl Pink,"200, 159, 177",C89FB1,ARTKAL,Pearl,,
SP5,Pearl Red,"189,81,92",BD515C,ARTKAL,Pearl,,
SP6,Pearl Blue,"72,80,148",485094,ARTKAL,Pearl,,
SP7,Pearl Purple,"99,70,137",634689,ARTKAL,Pearl,,
SP8,Pearl Clear,"186,194,200",BAC2C8,ARTKAL,Pearl,,
,,,,,,,
P??,Red Glitter,"157,56,46",9D382E,PERLER,Glitter,,
P??,Blue Glitter,"12,104,179",0069C0,PERLER,Glitter,,
P??,Purple Glitter,"105,65,132",694184,PERLER,Glitter,,
P??,Yellow Glitter,"186,180,86",BAB456,PERLER,Glitter,,
P??,Green Glitter,"135,110",00876E,PERLER,Glitter,,
P??,Clear Glitter,"166,169,177",A6A9B1,PERLER,Glitter,,
P??,Black Glitter,"56,55,55",383737,PERLER,Glitter,,
P??,White Glitter,"208,219,222",D0DBDE,PERLER,Glitter,,
P??,Pink Glitter,"226,88,127",E2587F,PERLER,Glitter,,
P??,Fairy Dust,"155,175,158",9BAF9E,PERLER,Glitter,,
P??,Kiwi Glitter,"85,158,69",#559E45,PERLER,Glitter,,
SL1,Glitter Blue,"64,144,169",4090A9,ARTKAL,Glitter,,
SL5,Glitter Purple,"126,84,157",7E549D,ARTKAL,Glitter,,
,,,,,,,
P??,Clear,"158,167,174",9EA7AE,PERLER,transluscent ,,
P??,Clear Blue,"124,210,242",7CD2F2,PERLER,transluscent,,
ST6,Transparent Purple,"116,110,191",746EBF,ARTKAL,transluscent ,,
P??,Transparent Turquoise,"0, 110, 141",006d8b,PERLER,transluscent,,
,,,,,,,
P75,Glow Green,"175,195,157",AFC39D,PERLER,glow-in-the-dark,,
P??,Glow Blue,"86,172,190",56ACBE,PERLER,glow-in-the-dark,,
P??,Glow Pink,"238,117,168",EE75A8,PERLER,glow-in-the-dark,,
P??,Glow Purple,"174,102,177",AE66B1,PERLER,glow-in-the-dark,,
P??,Glow Orange,"234,175,111",EAAF6F,PERLER,glow-in-the-dark,,
,,,,,,,
P??,Color Change Blue,"100, 157, 207",649DCF,PERLER,color changing,,
P??,Color Change Purple,"157, 116, 196",9D74C4,PERLER,color changing,,
P??,Color Change Pink,"205, 105, 158",CD699E,PERLER,color changing,,
P??,Color Change Red,"201, 96, 105",C86069,PERLER,color changing,,
P?? ,Color Change Green,"85, 176, 127",55AF7E,PERLER,color changing,,
P??,Color Change Dark Green,"56, 78, 72",#384E48,PERLER,color changing,,
